07:44- 24404010309 还需：27min
07:45- 24404010309 还需：26min
07:46- 24404010309 还需：25min
07:47- 24404010309 还需：24min
07:48- 24404010309 还需：23min
07:49- 24404010309 还需：22min
07:50- 24404010309 还需：21min
07:51- 24404010309 还需：20min
07:52- 24404010309 还需：19min
07:53- 24404010309 还需：18min
07:54- 24404010309 还需：17min
07:55- 24404010309 还需：16min
07:56- 24404010309 还需：15min
07:57- 24404010309 还需：14min
07:58- 24404010309 还需：13min
07:59- 24404010309 还需：12min
08:00- 24404010309 还需：11min
08:01- 24404010309 还需：10min
08:02- 24404010309 还需：09min
08:03- 24404010309 还需：08min
08:04- 24404010309 还需：07min
08:05- 24404010309 还需：06min
08:06- 24404010309 还需：05min
08:07- 24404010309 还需：04min
08:08- 24404010309 还需：03min
08:09- 24404010309 还需：02min
08:10- 24404010309 还需：01min
08:11- 24404010309 还需：00min
08:12- 24404010309 结束结果：操作成功
2025-11-29 09:48:03 - redrun - DEBUG - 报名请求已发送
2025-11-29 09:48:03 - redrun - INFO - 24402050319 还需：27min
2025-11-29 09:49:03 - redrun - INFO - 24402050319 还需：26min
2025-11-29 09:50:03 - redrun - INFO - 24402050319 还需：25min
2025-11-29 09:51:03 - redrun - INFO - 24402050319 还需：24min
2025-11-29 09:52:03 - redrun - INFO - 24402050319 还需：23min
2025-11-29 09:52:54 - redrun - INFO - 开始处理批次，账号数：5
2025-11-29 09:52:55 - redrun - DEBUG - 报名请求已发送
2025-11-29 09:52:55 - redrun - DEBUG - 报名请求已发送
2025-11-29 09:52:55 - redrun - DEBUG - 报名请求已发送
2025-11-29 09:52:55 - redrun - DEBUG - 报名请求已发送
2025-11-29 09:52:55 - redrun - INFO - 24403010326 还需：27min
2025-11-29 09:52:55 - redrun - INFO - 22610099214 还需：26min
2025-11-29 09:52:55 - redrun - INFO - 24403010317 还需：27min
2025-11-29 09:52:55 - redrun - INFO - 22610099212 还需：26min
2025-11-29 09:52:57 - redrun - DEBUG - 报名请求已发送
2025-11-29 09:52:57 - redrun - INFO - 24402050319 还需：27min
2025-11-29 09:53:55 - redrun - INFO - 24403010317 还需：26min
2025-11-29 09:53:55 - redrun - INFO - 22610099212 还需：25min
2025-11-29 09:53:55 - redrun - INFO - 24403010326 还需：26min
2025-11-29 09:53:55 - redrun - INFO - 22610099214 还需：25min
2025-11-29 09:53:57 - redrun - INFO - 24402050319 还需：26min
2025-11-29 09:54:55 - redrun - INFO - 24403010317 还需：25min
2025-11-29 09:54:55 - redrun - INFO - 22610099212 还需：24min
2025-11-29 09:54:55 - redrun - INFO - 24403010326 还需：25min
2025-11-29 09:54:55 - redrun - INFO - 22610099214 还需：24min
2025-11-29 09:54:57 - redrun - INFO - 24402050319 还需：25min
2025-11-29 09:55:55 - redrun - INFO - 24403010326 还需：24min
2025-11-29 09:55:55 - redrun - INFO - 22610099212 还需：23min
2025-11-29 09:55:55 - redrun - INFO - 24403010317 还需：24min
2025-11-29 09:55:55 - redrun - INFO - 22610099214 还需：23min
2025-11-29 09:55:57 - redrun - INFO - 24402050319 还需：24min
2025-11-29 09:56:55 - redrun - INFO - 22610099212 还需：22min
2025-11-29 09:56:55 - redrun - INFO - 24403010326 还需：23min
2025-11-29 09:56:55 - redrun - INFO - 24403010317 还需：23min
2025-11-29 09:56:55 - redrun - INFO - 22610099214 还需：22min
2025-11-29 09:56:57 - redrun - INFO - 24402050319 还需：23min
2025-11-29 09:57:55 - redrun - INFO - 24403010326 还需：22min
2025-11-29 09:57:55 - redrun - INFO - 22610099212 还需：21min
2025-11-29 09:57:55 - redrun - INFO - 22610099214 还需：21min
2025-11-29 09:57:55 - redrun - INFO - 24403010317 还需：22min
2025-11-29 09:57:57 - redrun - INFO - 24402050319 还需：22min
2025-11-29 09:58:55 - redrun - INFO - 24403010326 还需：21min
2025-11-29 09:58:55 - redrun - INFO - 22610099214 还需：20min
2025-11-29 09:58:55 - redrun - INFO - 24403010317 还需：21min
2025-11-29 09:58:55 - redrun - INFO - 22610099212 还需：20min
2025-11-29 09:58:58 - redrun - INFO - 24402050319 还需：21min
2025-11-29 09:59:55 - redrun - INFO - 24403010317 还需：20min
2025-11-29 09:59:55 - redrun - INFO - 22610099214 还需：19min
2025-11-29 09:59:55 - redrun - INFO - 24403010326 还需：20min
2025-11-29 09:59:55 - redrun - INFO - 22610099212 还需：19min
2025-11-29 09:59:58 - redrun - INFO - 24402050319 还需：20min
2025-11-29 10:00:55 - redrun - INFO - 22610099214 还需：18min
2025-11-29 10:00:55 - redrun - INFO - 24403010317 还需：19min
2025-11-29 10:00:55 - redrun - INFO - 24403010326 还需：19min
2025-11-29 10:00:55 - redrun - INFO - 22610099212 还需：18min
2025-11-29 10:00:58 - redrun - INFO - 24402050319 还需：19min
2025-11-29 10:01:55 - redrun - INFO - 22610099214 还需：17min
2025-11-29 10:01:55 - redrun - INFO - 24403010326 还需：18min
