学号	课程班级
18602083216	22级899汉语言文学班
18603083907	22级904数学班
18607085128	22级920音乐班
19602085832	22级902汉语言文学班
19602086123	22级900汉语言文学班
19602086144	22级902汉语言文学班
19602086343	22级898汉语言文学班
19602086345	22级901汉语言文学班
19602086538	22级897汉语言文学班
19603086651	22级906数学班
19603086744	22级907数学班
19603086843	22级908数学班
19603086938	22级903数学班
19603087144	23级947数学班
19603087149	22级909数学班
19604087518	22级914英语班
19604087544	22级913英语班
19604087744	22级914英语班
19605088006	23级955科教班
19607088329	22级920音乐班
19607088407	22级921音乐班
19607088427	22级921音乐班
19607088448	22级921音乐班
19609088736	22级初招足球班
19610088915	22级931小教理3班
19610088916	22级931小教理3班
19610088943	22级933小教理5班
19610089007	22级926小教文1班
19610089206	22级928小教文3班
19610089242	22级929小教理1班
19610089312	22级932小教理4班
20401050134	22计科6班
20401050149	22计科5班
20403010303	23学前国际1班
20405020118	22网媒1班
20601089502	22级895思政班
20601089503	22级895思政班
20601089507	22级895思政班
20601089509	22级895思政班
20601089510	22级895思政班
20601089511	22级895思政班
20601089512	22级895思政班
20601089515	22级895思政班
20601089521	22级895思政班
20601089522	22级895思政班
20601089525	22级895思政班
20601089527	22级895思政班
20601089528	22级895思政班
20601089529	22级895思政班
20601089531	22级895思政班
20601089533	22级895思政班
20601089536	22级895思政班
20601089537	22级895思政班
20601089538	22级895思政班
20601089539	22级895思政班
20601089541	22级895思政班
20601089542	22级895思政班
20601089601	22级896思政班
20601089602	22级896思政班
20601089603	22级896思政班
20601089605	22级896思政班
20601089607	22级896思政班
20601089608	22级896思政班
20601089611	22级896思政班
20601089614	22级896思政班
20601089616	22级896思政班
20601089618	22级896思政班
20601089620	22级896思政班
20601089622	22级896思政班
20601089623	22级896思政班
20601089625	23级936思政班
20601089630	22级896思政班
20601089637	22级896思政班
20602089703	22级897汉语言文学班
20602089710	22级897汉语言文学班
20602089713	22级897汉语言文学班
20602089718	22级897汉语言文学班
20602089726	22级897汉语言文学班
20602089727	22级897汉语言文学班
20602089728	22级897汉语言文学班
20602089729	22级897汉语言文学班
20602089732	22级897汉语言文学班
20602089733	22级897汉语言文学班
20602089735	22级897汉语言文学班
20602089738	22级897汉语言文学班
20602089740	22级897汉语言文学班
20602089741	22级897汉语言文学班
20602089742	22级897汉语言文学班
20602089743	22级897汉语言文学班
20602089744	22级897汉语言文学班
20602089745	22级897汉语言文学班
20602089746	22级897汉语言文学班
20602089748	22级897汉语言文学班
20602089749	22级897汉语言文学班
20602089750	22级897汉语言文学班
20602089751	22级897汉语言文学班
20602089752	22级897汉语言文学班
20602089805	22级898汉语言文学班
20602089820	22级898汉语言文学班
20602089821	22级898汉语言文学班
20602089827	22级898汉语言文学班
20602089828	22级898汉语言文学班
20602089832	22级898汉语言文学班
20602089833	22级898汉语言文学班
20602089834	22级898汉语言文学班
20602089835	22级898汉语言文学班
20602089836	22级898汉语言文学班
20602089837	22级898汉语言文学班
20602089838	22级898汉语言文学班
20602089840	22级898汉语言文学班
20602089842	22级898汉语言文学班
20602089843	22级898汉语言文学班
20602089844	22级898汉语言文学班
20602089846	22级898汉语言文学班
20602089847	22级898汉语言文学班
20602089848	22级898汉语言文学班
20602089849	22级898汉语言文学班
20602089850	22级898汉语言文学班
20602089851	22级898汉语言文学班
20602089852	22级898汉语言文学班
20602089902	22级899汉语言文学班
20602089909	22级899汉语言文学班
20602089912	22级899汉语言文学班
20602089913	22级899汉语言文学班
20602089915	22级899汉语言文学班
20602089916	22级899汉语言文学班
20602089921	22级899汉语言文学班
20602089922	22级899汉语言文学班
20602089925	22级899汉语言文学班
20602089931	23级940汉语言文学班
20602089939	22级899汉语言文学班
20602089940	22级899汉语言文学班
20602089942	22级899汉语言文学班
20602089944	22级899汉语言文学班
20602089947	22级899汉语言文学班
20602089948	22级899汉语言文学班
20602089949	22级899汉语言文学班
20602089950	22级899汉语言文学班
20602089951	22级899汉语言文学班
20602090007	22级900汉语言文学班
20602090021	22级900汉语言文学班
